HDIrank,Country,HDI,Emission,GDP,Health,Homicide,Water,Internet,CPI
1,Norway,0.95,6.59,75.22,10.45,0.53,98.34,96.36,114.55
2,Switzerland,0.94,4.39,80.41,12.35,0.53,95.46,89.69,98.26
3,Ireland,0.94,7.44,70.62,7.18,0.86,97.32,84.11,105.08
4,Germany,0.94,8.7,44.35,11.25,0.98,99.8,84.4,109.28
4,"China, Hong Kong SAR",0.94,5.96,46.77,5.15,0.33,100,89.42,127.78
6,Australia,0.94,15.63,57.60,9.21,0.83,100,86.55,115.69
6,Iceland,0.94,6.34,73.25,8.33,0.9,100,98.26,121.96
8,Sweden,0.94,3.74,54.57,11.02,1.14,99.94,95.51,106.48
9,Singapore,0.93,8.45,58.98,4.44,0.19,100,84.45,113.27
10,Netherlands,0.93,9.08,48.99,10.1,0.78,99.95,93.2,111.03
11,Denmark,0.93,5.42,57.47,10.11,1.24,96.73,97.1,108.63
12,Finland,0.92,7.73,46.28,9.21,1.25,99.63,87.47,110
13,Canada,0.92,14.99,44.92,10.57,1.8,98.86,91,111.98
14,New Zealand,0.92,6.67,43.69,9.17,0.74,100,90.81,110.65
15,United States of America,0.92,14.61,60.04,17.06,5.32,99,87.27,112.41
15,United Kingdom,0.92,5.43,39.96,9.63,1.2,99.99,94.62,115.62
17,Belgium,0.92,7.96,44.16,10.34,1.69,99.52,87.68,112.81
19,Japan,0.91,8.94,38.12,10.94,0.24,98.45,84.59,103.96
20,Austria,0.91,7.38,47.43,10.4,0.79,98.91,87.94,114
21,Luxembourg,0.91,14.46,108.43,5.48,0.34,99.72,97.36,111.48
22,Republic of Korea,0.9,11.66,31.78,7.6,0.59,98.21,95.07,113.05
22,Israel,0.9,7.32,42.85,7.41,1.49,99.38,81.58,106.35
24,Slovenia,0.9,6.49,23.39,8.19,0.92,98.05,78.89,107.4
25,Spain,0.89,5.45,28.14,8.87,0.66,98.44,84.6,108.38
26,France,0.89,4.57,38.68,11.31,1.27,97.85,80.5,106.76
26,Czechia,0.89,9.6,20.29,7.23,0.62,97.88,78.72,110.88
28,Malta,0.88,3.26,29.18,9.34,2.06,100,81.01,110.34
29,Italy,0.88,5.31,32.33,8.84,0.61,95.04,63.08,108.68
30,Estonia,0.88,12.14,20.36,6.43,2.2,93.33,88.1,115.45
31,Cyprus,0.87,7.45,26.48,6.68,0.59,99.61,80.74,100.81
32,Greece,0.87,5.88,19.26,8.04,0.81,100,70.55,101.06
32,Poland,0.87,7.96,13.87,6.54,0.76,99.16,75.99,109.64
34,Lithuania,0.87,3.83,16.78,6.46,4.53,92.04,77.62,112.64
35,United Arab Emirates,0.86,20.91,39.81,3.33,0.46,100,94.82,113.3
36,Andorra,0.85,6.26,39.23,10.32,0,90.64,91.57,105.49
36,Slovakia,0.85,5.92,17.53,6.74,1.47,99.79,81.63,109.59
36,Saudi Arabia,0.86,16.16,20.80,3.33,1.27,97,82.12,115.69
39,Latvia,0.85,3.44,15.52,5.96,4.15,95.19,80.11,110.85
40,Portugal,0.85,4.93,21.52,8.97,0.74,95.31,73.79,109.17
41,Qatar,0.85,30.36,61.26,2.61,0.4,96.18,97.39,108.48
42,Chile,0.84,4.65,15.04,8.98,4.22,98.64,82.33,115.53
43,Hungary,0.84,4.68,14.54,6.88,2.49,89.57,76.75,114.45
45,Bahrain,0.84,19.97,23.72,4.75,0.5,98.98,95.88,115.23
46,Croatia,0.84,3.93,13.23,6.79,1.1,89.96,67.1,107.37
47,Oman,0.83,14.13,16.99,3.85,0.51,90.28,80.19,112.39
48,Argentina,0.83,4.14,14.63,9.12,5.21,99,74.29,112.89
49,Russian Federation,0.82,10.64,10.87,5.34,9.13,76.03,76.01,168.2
50,Belarus,0.81,5.69,5.79,5.93,2.54,94.52,74.44,459.03
50,Kazakhstan,0.81,14.18,9.23,3.13,5.06,89.51,76.43,169.28
52,Bulgaria,0.81,6.05,8.30,8.1,1.45,96.95,63.41,107.94
52,Montenegro,0.81,3.55,7.74,7.6,2.39,93.6,71.27,113.36
52,Romania,0.81,3.61,10.77,5.16,1.3,81.92,63.75,113.95
56,Barbados,0.81,4.44,17.39,6.78,10.48,100,81.76,177.61
57,Uruguay,0.81,1.7,17.32,9.3,8.26,99,68.28,174.8
57,Kuwait,0.81,21.62,29.47,5.29,1.8,100,100,124.56
59,Turkey,0.8,4.71,10.51,4.22,3.09,100,64.68,174.97
60,Bahamas,0.8,4.71,31.83,5.76,31.96,98,85,110.88
61,Malaysia,0.8,6.67,10.25,3.86,2.1,93.33,80.14,119.63
62,Seychelles,0.8,6.63,15.59,5.01,12.7,96,58.77,123.1
63,Serbia,0.79,6.57,6.27,8.43,1.06,74.73,70.33,138.65
65,Iran (Islamic Republic of),0.8,6.99,5.71,8.66,2.5,91.8,64.04,106.19
66,Mauritius,0.79,3.31,10.49,5.72,2.61,100,55.4,125.4
67,Panama,0.79,2.35,15.17,7.32,9.67,94,57.87,121.58
68,Costa Rica,0.79,1.55,11.75,7.33,12.18,93.8,71.39,123.46
69,Albania,0.79,1.51,4.52,6.7,2.01,70.02,71.85,115.08
70,Georgia,0.78,2.35,4.05,7.6,1,79.99,59.71,124.17
71,Sri Lanka,0.78,1.08,4.17,3.81,2.3,94,34.11,122.56
72,Cuba,0.78,2.28,8.54,11.71,5,94,57.15,116.5
73,Saint Kitts and Nevis,0.77,4.62,19.16,5.04,34.2,98,80.71,105.66
74,Antigua and Barbuda,0.77,5.91,15.38,4.53,10.3,98,76,112.45
75,Bosnia and Herzegovina,0.77,6.37,5.39,8.93,1.25,88.84,64.89,102.85
76,Mexico,0.76,3.62,9.28,5.52,25.71,42.87,63.85,130.2
77,Thailand,0.76,3.54,6.58,3.75,2.58,96,52.89,111.29
78,Grenada,0.76,2.4,10.15,4.76,10.82,87.12,59.07,106.57
79,Brazil,0.76,2.04,9.88,9.47,30.83,98,67.47,155.67
79,Colombia,0.76,1.54,6.37,7.23,25.02,73.23,62.26,131.96
81,Armenia,0.76,1.76,3.91,10.36,2.38,86.48,64.74,124.21
82,Algeria,0.76,3.16,4.04,6.37,1.4,84,47.69,142.38
82,North Macedonia,0.76,3.57,5.43,6.06,1.49,81.01,74.52,110.92
82,Peru,0.76,1.55,6.70,5,7.91,50.35,48.73,125.42
85,Ecuador,0.76,2.06,6.21,8.26,5.79,75.07,57.27,124.09
85,China,0.75,6.68,8.55,5.15,0.56,92,54.3,103.61
87,Azerbaijan,0.75,3.12,4.15,6.65,2.04,73.56,79,149.47
88,Ukraine,0.75,3.82,2.52,7,6.18,92.01,58.89,235.3
89,Dominican Republic,0.74,1.99,7.23,6.14,11.57,81,67.57,128.51
89,Saint Lucia,0.74,2.31,10.04,4.55,29.29,94,50.82,108.04
91,Tunisia,0.74,2.27,3.48,7.23,3,92.66,64.19,138.44
92,Mongolia,0.73,6.27,3.67,4,6.13,23.72,23.71,171.97
93,Lebanon,0.73,4.43,7.83,8.2,3.61,47.7,78.18,119
94,Botswana,0.72,3.37,7.89,6.13,15,97,47,141.1
94,Saint Vincent & Grenadines,0.73,2.02,7.21,4.49,36.5,95.1,22,107.17
96,Jamaica,0.72,2.41,5.07,5.99,56.39,93,55.07,150.76
96,Venezuela (Boliv. Rep. of),0.73,3.56,8.44,1.18,49.88,93,72,14.75
98,Paraguay,0.72,1.12,5.68,6.65,7.88,63.89,61.08,134.61
98,Suriname,0.72,3.43,5.63,6.23,5.43,95,48.95,264.07
98,Dominican Republic,0.72,1.99,7.23,6.14,11.57,81,67.57,128.51
98,Fiji,0.72,2.36,6.10,3.5,2.3,96,49.97,124.9
102,Jordan,0.72,2.63,4.16,8.12,1.36,93.82,66.79,119.33
103,Belize,0.72,1.51,4.89,5.64,37.79,99,47.08,105.68
105,Tonga,0.72,1.29,4.83,5.27,1,99,41.25,121.1
106,Philippines,0.71,1.21,2.98,4.45,8.39,46.65,60.05,111.5
107,Republic of Moldova,0.71,2.12,2.38,7.01,3.47,72.88,76.12,153.93
108,Uzbekistan,0.71,2.51,1.85,6.41,1.14,58.9,52.31,113.76
111,Samoa,0.71,1.29,4.22,5.48,3.1,58.82,33.61,111.72
111,Indonesia,0.7,1.88,3.84,2.99,0.43,85,32.29,142.18
113,South Africa,0.7,7.44,6.12,8.11,35.7,95,56.17,145.7
114,Bolivia (Plurin. State of),0.7,1.98,3.35,6.44,6.3,88,43.83,142.4
116,Egypt,0.7,2.15,2.02,5.29,2.5,99,44.95,231.09
118,Viet Nam,0.69,2,2.37,5.53,1.5,95,58.14,153.63
120,Iraq,0.68,3.66,5.08,4.17,9.9,58.83,49.36,119.42
121,Morocco,0.67,1.63,3.08,5.25,2.14,70.27,61.76,108.77
122,Kyrgyzstan,0.67,1.44,1.24,6.19,4.14,68.22,38,151.59
123,Guyana,0.67,3.03,4.59,4.95,14.83,98,37.33,112.37
124,El Salvador,0.66,0.9,3.90,7.23,61.71,90,33.82,109.95
125,Tajikistan,0.65,0.66,0.81,7.23,1.6,47.87,21.96,159.54
126,Nicaragua,0.65,0.82,2.17,8.65,7.4,51.6,27.86,147.15
126,Guatemala,0.65,0.93,4.47,5.81,26.07,55.99,65,132.84
126,Cabo Verde,0.65,1.02,3.29,5.17,7.07,89,57.16,107.93
129,India,0.64,1.61,1.96,3.54,3.12,93,34.45,159.83
130,Namibia,0.64,1.59,5.65,8.55,17.1,92,51,145.91
131,Timor-Leste,0.62,0.41,2.00,3.88,3.9,70,27.49,141.64
132,Kiribati,0.62,0.59,1.63,10.76,7.5,67,14.58,99.5
132,Honduras,0.62,1.02,2.45,7.86,40.98,90,31.7,138.05
134,Bhutan,0.62,1.58,3.39,3.19,1.74,36.16,48.11,158.43
135,Bangladesh,0.61,0.48,1.54,2.27,2.22,55.44,15,161.23
142,Ghana,0.59,0.48,2.03,3.26,2.09,36.41,39,232.26
143,Zambia,0.59,0.35,1.53,4.47,5.3,63,27.85,180.95
145,Myanmar,0.58,0.57,1.25,4.66,2.3,86,30.68,144.61
146,Cambodia,0.58,0.67,1.39,5.92,1.8,25.85,32.45,124.57
147,Nepal,0.57,0.35,0.93,5.55,2.2,27.24,34,116.9
147,Kenya,0.57,0.33,1.57,4.8,4.91,62,17.83,172.43
149,Angola,0.58,0.61,4.10,2.79,4.8,54,14.34,280.76
150,Zimbabwe,0.55,0.59,1.55,6.64,6.7,80,27.06,105.51
150,Cameroon,0.56,0.26,1.43,4.67,1.39,74,23.2,114.58
152,Pakistan,0.56,0.93,1.46,2.9,3.96,35.31,15.51,156.91
153,Solomon Islands,0.55,0.27,1.89,4.68,3.8,81,11.92,126.54
154,Syrian Arab Republic,0.54,1.26,0.77,3.56,2.2,90,34.25,175.2
155,Papua New Guinea,0.54,0.9,2.61,2.47,10,40,11.21,143.73
157,Rwanda,0.53,0.09,0.76,6.57,2.5,71,21.77,135.36
158,Nigeria,0.53,0.45,1.97,3.76,34.5,20.13,42,214.23
159,Uganda,0.52,0.14,0.66,6.27,11.5,7.07,23.71,167.91
159,United Rep. of Tanzania,0.52,0.18,1.00,3.65,6.2,53,25,175.04
163,Benin,0.51,0.61,0.83,3.72,1.13,76,20,108.97
164,Lesotho,0.51,1.33,1.23,8.76,41.2,81,29,141.45
165,Côte d’Ivoire,0.51,0.42,1.56,4.45,11.8,36.55,43.84,112.45
168,Sudan,0.51,0.46,3.04,6.34,5.2,55,30.87,155.96
169,Haiti,0.5,0.3,0.78,8.04,9.5,62,12.33,181.49
170,Afghanistan,0.49,0.25,0.59,11.78,6.68,64,13.5,145.61
172,Malawi,0.48,0.08,0.36,9.65,1.7,85,13.78,340.24
173,Ethiopia,0.47,0.12,0.72,3.5,25.5,11.44,18.62,249.09
176,Liberia,0.47,0.32,0.46,8.16,3.2,75,7.98,180.58
177,Yemen,0.46,0.32,0.87,1.27,6.7,55,26.72,110.32
178,Guinea-Bissau,0.46,0.18,0.74,7.24,1.15,74,3.93,111.65
179,Congo,0.46,0.54,2.15,2.93,13,45.35,8.65,120.66
180,Mozambique,0.44,0.26,0.46,4.94,3.4,49,10,170.7
181,Sierra Leone,0.43,0.14,0.50,13.42,1.7,9.92,9,175.78
182,Burkina Faso,0.43,0.2,0.74,6.92,1.25,82,16,108.12
185,Burundi,0.42,0.05,0.30,7.52,6,75,2.66,188.68
188,Central African Republic,0.38,0.06,0.43,5.82,19.8,68,4.34,119.32
189,Niger,0.37,0.1,0.52,7.74,4.4,52,10.22,110.08
